Month,GMT,RNXO,RO3,RPM25,RSO2
1.2.14,09:00,177.0642857,1146,9.142857143,3.367857143
1.6.14,09:00,174.1266667,1252,11.11,3.67
1.8.12,23:00,98.9,626,13.06129032,2.025806452
1.8.13,15:00,132.2225806,1779,12.3516129,2.7
1.1.10,17:00,208.8903226,1,26.46774194,5.148387097
1.8.14,16:00,113.6354839,1596,9.696774194,3.119354839
1.5.13,01:00,68.83225806,1743,14.80322581,3.15483871
1.12.13,06:00,156.7806452,897,12.20645161,3.161290323
1.1.10,16:00,204.5645161,53,26.63548387,5.309677419
1.8.14,13:00,116.7290323,1611,9.561290323,3.364516129
1.9.11,21:00,127.13,574,16.47666667,1.803333333
1.1.10,08:00,222.5548387,7,23.34516129,5.609677419
1.4.13,16:00,135.0733333,1914,15.81666667,2.23
1.7.15,17:00,142.4258065,1811,11.55483871,6.032258065
1.1.10,09:00,216.2580645,77,24.38064516,5.583870968
1.7.12,11:00,149.6290323,1452,13.52580645,2.770967742
1.2.16,14:00,152.7103448,1349,11.12758621,3.706896552
1.12.14,17:00,225.0451613,228,15.35483871,3.683870968
1.2.17,06:00,153.6392857,492,17.14642857,6.296428571
1.2.18,03:00,59.325,1257,10.31785714,1.946428571
1.5.12,10:00,156.9774194,1740,18.73870968,3.116129032
1.6.12,02:00,50.73333333,1534,10.41,1.336666667
1.2.16,18:00,196.8965517,758,13.84827586,4.037931034
1.2.12,06:00,198.0310345,191,21.44482759,3.337931034
1.10.11,21:00,133.4354839,487,16.17096774,2.483870968
1.11.18,10:00,156.98,296,14.33333333,6.313333333
1.10.14,07:00,246.8483871,47,14.69677419,4.635483871
1.5.14,03:00,74.70967742,1182,15.62580645,0.767741935
1.7.15,22:00,96.56129032,1426,11.13225806,5.441935484
1.5.13,13:00,139.1129032,1880,13.2,3.970967742
1.3.12,03:00,106.7870968,520,28.40322581,2.435483871
1.11.13,23:00,162.78,80,17.34666667,4.08
1.2.12,05:00,129.3551724,652,19.90344828,2.65862069
1.1.11,23:00,115.5580645,703,17.63870968,2.906451613
1.6.14,18:00,121.1,1735,11.02333333,2.91
1.8.10,21:00,100.4064516,536,11.87419355,2.893548387
1.11.13,12:00,198.5633333,354,13.03333333,4.166666667
1.8.10,12:00,121.2612903,1218,10.59032258,3.858064516
1.8.13,03:00,62.61935484,713,12.6516129,1.683870968
1.5.11,22:00,86.53870968,1672,13.28709677,2.24516129
1.6.14,00:00,82.66666667,1133,11.21,2.076666667
1.1.12,19:00,188.4516129,166,17.98064516,3.203225806
1.12.18,20:00,133.2903226,517,13.27741935,1.5
1.8.16,17:00,126.8032258,1622,13.14516129,1.941935484
1.1.14,13:00,166.1903226,1067,10.17096774,1.658064516
1.3.10,10:00,137.6032258,1027,16.88064516,4.364516129
1.3.12,19:00,208.183871,226,32.42580645,3.719354839
1.12.18,04:00,60.09032258,1144,10.01935484,1.212
1.8.17,05:00,137.0451613,66,11.86451613,1.74516129
1.5.10,20:00,102.3387097,1401,17.00322581,3.767741935
1.7.17,17:00,122.1032258,1571,10.28709677,0.841935484
1.6.16,01:00,51.92833333,1241,10.715,5.276666667
1.4.12,09:00,163.2,1703,14.05666667,2.913333333
1.9.17,09:00,150.2933333,503,12.78,2.253333333
1.12.15,08:00,160.2903226,1070,11.55806452,1.632258065
1.1.15,04:00,86.49354839,1446,10.1516129,3.080645161
1.9.18,10:00,103.77,1177,9.156666667,0.07
1.4.14,11:00,162.8566667,1555,18.96666667,2.95
1.11.10,04:00,99.3,622,18.6,2.84
1.8.18,07:00,122.9258065,146,8.080645161,2.064516129
1.9.16,13:00,156.8966667,1239,12.34666667,2.79
1.1.15,06:00,183.8,697,11.63548387,4.590322581
1.11.17,21:00,173.68,140,19.50333333,4.820689655
1.1.14,03:00,76.0483871,1516,9.6,0.84516129
1.9.13,05:00,180.4866667,1928,18.12,2.993333333
1.1.18,20:00,116.9322581,804,11.76451613,2.383870968
1.11.11,22:00,155.2033333,40,25.05,2.783333333
1.1.15,00:00,117.8548387,1206,13.33548387,3.683870968
1.4.10,18:00,119.31,1769,17.67,4.923333333
1.11.15,22:00,118.7666667,1068,12.47,2.443333333
1.11.15,13:00,180.01,793,13.49,3.23
1.2.18,06:00,158.0607143,328,11.98571429,4.321428571
1.11.12,22:00,178.51,148,21.89333333,3.226666667
1.12.15,13:00,152.0096774,1282,12.54516129,1.94516129
1.9.17,17:00,137.5266667,859,11.88,1.93
1.9.18,20:00,109.3166667,845,10.87333333,0.506666667
1.9.14,07:00,241.8333333,1957,28.41333333,5.963333333
1.10.14,21:00,136.7774194,358,14.7516129,3.232258065
1.12.17,19:00,169.4967742,301,12.37419355,5.858064516
1.12.15,17:00,166.9709677,1043,13.75806452,1.829032258
1.3.17,00:00,81.6483871,1527,11.7483871,2
1.8.17,01:00,53.17419355,724,10.41290323,-0.012903226
1.1.13,09:00,263.8419355,167,20.49677419,5.167741935
1.9.10,21:00,124.5133333,285,14.68333333,2.933333333
1.8.14,08:00,140.8451613,874,9.748387097,3.812903226
1.1.12,23:00,125.616129,554,16.8,2.448387097
1.12.13,08:00,230.6741935,608,13.8,4.003225806
1.1.18,22:00,100.7354839,1041,10.58387097,2.509677419
1.11.14,17:00,271.4689655,1943,21.37586207,3.955172414
1.2.11,14:00,166.2357143,899,22.325,3.414285714
1.11.13,02:00,88.67333333,528,12.49666667,2.683333333
1.7.14,00:00,62.56451613,1117,12.07419355,2.570967742
1.6.15,21:00,98.38333333,1598,14.54333333,5.07
1.1.16,17:00,227.283871,390,14.80967742,3.990322581
1.8.11,04:00,93.21290323,265,11.43870968,2.509677419
1.8.11,19:00,116.1935484,939,11.53870968,2.561290323
1.3.15,15:00,153.7483871,1473,18.51935484,2.796774194
1.7.10,06:00,151.1774194,306,13.42258065,3.480645161
1.2.15,23:00,143.8357143,636,17.03214286,5.646428571
1.2.12,02:00,93.02068966,1082,19.76551724,2.365517241
1.8.16,00:00,65.33225806,856,12.14193548,1.361290323
1.6.12,03:00,58.93333333,1431,10.92,1.346666667
1.6.12,09:00,134.1866667,1569,11.65333333,2.56
1.5.15,03:00,54.01612903,1692,8.648387097,2.016129032
1.5.18,19:00,91.31612903,1835,18.60967742,1.24516129
1.7.18,18:00,87.5516129,1881,10.31935484,-1.803225806
1.9.16,20:00,134.3966667,360,14.75333333,2.076666667
1.9.11,01:00,76.56,736,13.78,1.216666667
1.2.13,22:00,144.1142857,1071,23.06785714,3.442857143
1.5.18,05:00,123.7322581,810,19.82258065,2.206451613
1.9.13,04:00,113.5066667,50,16.18666667,2.326666667
1.2.16,22:00,161.8517241,947,15.05172414,4.006896552
