Month,GMT,RNXO,RO3,RPM25,RSO2,AQI
1.7.10,3:00,55.69677419,25.52580645,11.13225806,2.409677419,102.1209677
1.7.10,4:00,78.99032258,20.92258065,11.86451613,2.677419355,131.2379032
1.7.10,5:00,124.3967742,17.40645161,12.97419355,3.096774194,144.3967742
1.7.10,6:00,151.1774194,17.41612903,13.42258065,3.480645161,171.1774194
1.7.10,7:00,148.416129,18.9,12.96451613,3.719354839,168.416129
1.7.10,8:00,143.4451613,20.61612903,12.98709677,3.877419355,163.4451613
1.7.10,9:00,139.0774194,23.78064516,12.32580645,3.741935484,159.0774194
1.7.10,10:00,132.3548387,26.79677419,12.65483871,3.64516129,152.3548387
1.7.10,11:00,129.0193548,29.44193548,13.1516129,3.567741935,149.0193548
1.7.10,12:00,122.4580645,32.87419355,12.68064516,3.564516129,142.4580645
1.7.10,13:00,120.3774194,35.04193548,12.89354839,3.538709677,140.3774194
1.7.10,14:00,119.016129,36.61935484,13.06129032,3.683870968,139.016129
1.7.10,15:00,114.8483871,38.36774194,13.21612903,3.341935484,134.8483871
1.7.10,16:00,113.1806452,39.0516129,13.05806452,3.24516129,133.1806452
1.7.10,17:00,111.5258065,38.68064516,12.93225806,3.141935484,131.5258065
1.7.10,18:00,105.8774194,37.90645161,12.79677419,3.106451613,125.8774194
1.7.10,19:00,96.29677419,35.93225806,12.12903226,3.051612903,116.2967742
1.7.10,20:00,91.99032258,31.07096774,12.30645161,2.764516129,111.9903226
1.7.10,21:00,92.73548387,27.13225806,12.42258065,2.761290323,112.7354839
1.7.10,22:00,89.39677419,25.56129032,11.9516129,2.635483871,109.3967742
1.7.10,23:00,79.86129032,24.45483871,11.73870968,2.722580645,132.3266129
1.8.10,0:00,65.41612903,23.16129032,9.809677419,2.896774194,114.2701613
1.8.10,1:00,55.9483871,23.81290323,9.309677419,2.993548387,102.4354839
1.8.10,2:00,49.64516129,25.45483871,9.432258065,2.419354839,94.55645161
1.8.10,3:00,54.15483871,23.94193548,9.825806452,2.441935484,100.1935484
1.8.10,4:00,78.23225806,19.92580645,10.66129032,2.709677419,130.2903226
1.8.10,5:00,128.0225806,15.30322581,11.93870968,3.096774194,148.0225806
1.8.10,6:00,156.5387097,14.55806452,12.59032258,3.496774194,176.5387097
1.8.10,7:00,147.1225806,16.89354839,11.65806452,3.664516129,167.1225806
1.8.10,8:00,138.9322581,20.2483871,11.13870968,3.770967742,158.9322581
1.8.10,9:00,131.3548387,24.21290323,10.47741935,3.84516129,151.3548387
1.8.10,10:00,126.0967742,26.33870968,10.34516129,3.896774194,146.0967742
1.8.10,11:00,123.8387097,28.44193548,10.36451613,3.95483871,143.8387097
1.8.10,12:00,121.2612903,30.0483871,10.59032258,3.858064516,141.2612903
1.8.10,13:00,119.8483871,30.72258065,10.66774194,3.806451613,139.8483871
1.8.10,14:00,122.6709677,30.50322581,11.04193548,3.706451613,142.6709677
1.8.10,15:00,120.3258065,31.52580645,11.09677419,3.474193548,140.3258065
1.8.10,16:00,117.5677419,31.64516129,11.24516129,3.367741935,137.5677419
1.8.10,17:00,118.6451613,29.59677419,11.86451613,3.251612903,138.6451613
